internal_id,lichess_game_id,move_number,lichess_url,fen,best_move,difficulty,initiative,development,endgame,space,trading,prophylaxis,coordination,exploitingweakness,kingsafety,restriction,fixingstructure,centrecontrol,other,side_to_move
31230,ggikeVoy,13,https://lichess.org/ggikeVoy#13,r2qkbnr/1ppn1pp1/p3p2p/3pPb2/B4P2/5N2/PPPP2PP/RNBQ1RK1 b kq - 1 7,b7b5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,b
31231,psEIUntl,56,https://lichess.org/psEIUntl#56,5rk1/pp4p1/5nB1/P2p4/6p1/1P2R3/2P2P2/6K1 w - - 0 29,e3e7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,w
31233,jsZKvKa0,25,https://lichess.org/jsZKvKa0#25,r1b2rk1/pppq1ppp/8/4n1B1/2Pp4/PP4PP/3QPP2/R3KB1R b KQ - 0 13,d7c6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,b
31234,mAWFcUQK,38,https://lichess.org/mAWFcUQK#38,2kr3r/pppb1p1p/8/2q5/4PP2/P2B4/1P1Q2PP/R4RK1 w - - 1 20,d2f2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,w
31236,uQnpMIED,43,https://lichess.org/uQnpMIED#43,2kr3r/1p2npbp/4p1p1/1P1pP3/3P4/p1B2B1P/5PP1/1K1R3R b - - 0 22,c8d7,3,0,1,0,0,0,0,1,0,0,0,0,0,0,b
31238,GmIJzPfh,15,https://lichess.org/GmIJzPfh#15,r2qkbnr/1p3ppp/p1n1p3/3pPb2/B2Q4/5N2/PPP2PPP/RNB2RK1 b kq - 1 8,b7b5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,b
31239,Ap6uPW7z,49,https://lichess.org/Ap6uPW7z#49,4r1k1/pp1n1p2/2pb2p1/8/3Pr3/1PP1P2R/N2KB3/7R b - - 3 25,d7f6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,b
31240,azvJbSw1,18,https://lichess.org/azvJbSw1#18,r2q3r/pbp1pkbp/1pn2npB/3p4/3P4/4P3/PPPNBPP1/R2QK1NR w KQ - 2 10,h6f4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,w
31241,z49wbaeD,20,https://lichess.org/z49wbaeD#20,2rqk2r/pp1bppb1/2np1np1/7p/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R w k h6 0 11,g4g5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31243,BEYvZvh2,56,https://lichess.org/BEYvZvh2#56,6k1/p2q2p1/2p1pp2/1rQ5/3PP3/3bBP1P/P5P1/R5K1 w - - 1 29,c5c3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,w
31244,rBa5yTeC,26,https://lichess.org/rBa5yTeC#26,r1bq1r2/1p2ppkp/p2p2p1/2pPn3/4P1P1/2N2B1P/PPPQ1P2/R3K2R w KQ - 1 14,f3e2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,w
31245,tfgLhZ6d,26,https://lichess.org/tfgLhZ6d#26,r1b2rk1/2p2ppp/2n1p1q1/p1Pn4/1P6/PQ2P2P/1B3PP1/R3KBNR w KQ a6 0 14,b4b5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31246,2rKGYII5,39,https://lichess.org/2rKGYII5#39,r7/ppp4r/3k1n2/3p3b/5N2/3P1P2/PPP3PP/2KRR3 b - - 3 20,h5f7,2,0,0,0,0,1,0,1,0,0,0,0,0,0,b
31247,y2mzT5nD,34,https://lichess.org/y2mzT5nD#34,r4rk1/1pq2p2/p1nb1n1p/6p1/PP1P4/1QP2BP1/1B3P1P/3R1RK1 w - g6 0 18,c3c4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31248,SSNia9GT,65,https://lichess.org/SSNia9GT#65,2r3k1/5pp1/p5bp/5P2/3BP3/P3K3/B5P1/8 b - - 0 33,g6h5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,b
31249,kTlMYoqk,26,https://lichess.org/kTlMYoqk#26,r1b1k2r/pp1nqnb1/2p2pB1/3p3p/3P2pP/1NN3B1/PPP2PP1/R2QK2R w KQkq - 2 14,c3e2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,w
31250,BABgo3X8,12,https://lichess.org/BABgo3X8#12,r2qkbnr/1p2pppp/p1np4/2p4b/4P3/2NPBN1P/PPP2PP1/R2QKB1R w KQkq - 0 7,g2g4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31251,uNwcCteT,35,https://lichess.org/uNwcCteT#35,r3k2r/p1pp3p/1p2p1p1/3qRp2/5P2/1P1P4/P1P3PP/R2Q3K b kq - 1 18,d5d4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,b
31252,uHutnbYB,34,https://lichess.org/uHutnbYB#34,r2r2k1/1bp2pbp/ppn1p1p1/4P1PP/5B2/2P2N2/PPKN1P2/3R3R w - - 1 18,h5h6,2,0,0,0,1,0,0,0,0,0,0,0,0,1,w
31254,Yol2oSjq,16,https://lichess.org/Yol2oSjq#16,r3kb1r/pp3ppp/1qn1pn2/1B1pNb2/3P1B2/2N5/PPP2PPP/R2QK2R w KQkq - 4 9,g2g4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31255,elY3BJLG,78,https://lichess.org/elY3BJLG#78,8/r6p/6pk/8/2RP2P1/8/P6P/7K w - - 1 40,a2a4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,w
31256,nAlAyyEX,47,https://lichess.org/nAlAyyEX#47,2r2rk1/1b3pp1/p1q2b1N/1p1pp3/7P/1BP2P2/PP3PQ1/4RK1R b - - 0 24,g8h8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,b
31257,H06Rf85d,67,https://lichess.org/H06Rf85d#67,6k1/4R3/1p1rp1p1/p3b3/4P3/5B1P/P7/7K b - - 3 34,g8f8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,b
31258,34ZnoR7j,35,https://lichess.org/34ZnoR7j#35,1r3rk1/1bpq1pb1/pp1pp1pp/n7/2P1P3/3PBNP1/3Q1PBP/1R3RK1 b - - 1 18,g8h7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,b
31259,3DAkZyP7,19,https://lichess.org/3DAkZyP7#19,rn2k1nr/ppp2ppp/8/3PP3/5Bb1/2N3P1/PPP1N2q/R2QKB2 b kq - 3 10,g8e7,3,0,0,0,0,0,0,0,0,1,0,0,0,1,b
31260,lQYhXI8e,88,https://lichess.org/lQYhXI8e#88,1r4k1/p4p2/Pn4p1/8/p1R5/N3P1P1/5P1P/6K1 w - - 6 45,c4c7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,w
31261,JZxGpla2,26,https://lichess.org/JZxGpla2#26,r2q1rk1/pbpn1ppp/2pp1b2/7Q/4PP2/1PNB4/PBP3PP/R4RK1 w - - 7 14,e4e5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,w
31263,f0cM0jer,18,https://lichess.org/f0cM0jer#18,r1bqk2r/pppp1ppp/2n2n2/8/2BPP3/5N2/P2Q1PPP/RN2K2R w KQkq - 1 10,d4d5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
