internal_id,lichess_game_id,move_number,lichess_url,fen,best_move,useful,difficulty,initiative,development,endgame,space,trading,prophylaxis,coordination,exploitingweakness,kingsafety,restriction,fixingstructure,centrecontrol,other,side_to_move,pre_move_final_eval,pre_move_psqtmat,pre_move_material_imbalance,pre_move_positional_imbalance,pre_move_closedness,pre_move_complexity,pre_move_big_center_white,big_center_black,big_center_contested,big_center_uncontrolled,pre_move_center_white,center_black,center_contested,center_uncontrolled,pre_move_white_pawns,pre_move_white_pawns_and_king_safety_with_king_and_pawns,pre_move_white_pawns_and_king_safety_without_king_and_pawns,pre_move_white_pawns_and_king_evaluation_with_king_and_pawns,pre_move_white_pawns_and_king_evaluation_without_king_and_pawns,pre_move_white_knights,pre_move_white_bishops,pre_move_white_rooks,pre_move_white_queens,pre_move_white_kings,pre_move_white_passed,pre_move_white_threats,pre_move_white_space,pre_move_white_safe_space,pre_move_black_pawns,pre_move_black_pawns_and_king_safety_with_king_and_pawns,pre_move_black_pawns_and_king_safety_without_king_and_pawns,pre_move_black_pawns_and_king_evaluation_with_king_and_pawns,pre_move_black_pawns_and_king_evaluation_without_king_and_pawns,pre_move_black_knights,pre_move_black_bishops,pre_move_black_rooks,pre_move_black_queens,pre_move_black_kings,pre_move_black_passed,pre_move_black_threats,pre_move_black_space,pre_move_black_safe_space,post_move_final_eval,post_move_psqtmat,post_move_material_imbalance,post_move_positional_imbalance,post_move_closedness,post_move_complexity,post_move_big_center_white,big_center_black,big_center_contested,big_center_uncontrolled,post_move_center_white,center_black,center_contested,center_uncontrolled,post_move_white_pawns,post_move_white_pawns_and_king_safety_with_king_and_pawns,post_move_white_pawns_and_king_safety_without_king_and_pawns,post_move_white_pawns_and_king_evaluation_with_king_and_pawns,post_move_white_pawns_and_king_evaluation_without_king_and_pawns,post_move_white_knights,post_move_white_bishops,post_move_white_rooks,post_move_white_queens,post_move_white_kings,post_move_white_passed,post_move_white_threats,post_move_white_space,post_move_white_safe_space,post_move_black_pawns,post_move_black_pawns_and_king_safety_with_king_and_pawns,post_move_black_pawns_and_king_safety_without_king_and_pawns,post_move_black_pawns_and_king_evaluation_with_king_and_pawns,post_move_black_pawns_and_king_evaluation_without_king_and_pawns,post_move_black_knights,post_move_black_bishops,post_move_black_rooks,post_move_black_queens,post_move_black_kings,post_move_black_passed,post_move_black_threats,post_move_black_space,post_move_black_safe_space
31230,ggikeVoy,13,https://lichess.org/ggikeVoy#13,r2qkbnr/1ppn1pp1/p3p2p/3pPb2/B4P2/5N2/PPPP2PP/RNBQ1RK1 b kq - 1 7,b7b5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,b,47,94,0,94,0,0,15,18,15,3,8,16,8,0,0,-5, 0,110, 53,-3,-2,-37,2,8,0,0,11,20,0,2, 0,142, 83,-13,42,-24,2,11,0,-10,6,20,-13,111,0,111,0,0,15,18,12,6,8,16,8,0,0,-5, 0,110, 53,-3,-14,-37,2,8,0,-55,15,20,0,2, 0,136, 77,-13,42,-24,2,21,0,0,6,28
31231,psEIUntl,56,https://lichess.org/psEIUntl#56,5rk1/pp4p1/5nB1/P2p4/6p1/1P2R3/2P2P2/6K1 w - - 0 29,e3e7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,w,52,-43,-24,13,-5,-2,4,2,2,3,3,3,3,3,0,-24, 0,52, -10,0,45,65,0,-2,0,0,-5,8,0,-14, 0,-39, -69,35,0,42,0,4,0,27,0,7,182,-11,-24,21,-5,-2,3,3,1,3,3,3,3,3,0,-24, 0,52, -10,0,45,101,0,-2,0,0,-2,8,0,-14, 0,-39, -69,35,0,42,0,4,0,-31,0,7
31232,Bm8EtZIG,30,https://lichess.org/Bm8EtZIG#30,4r1k1/pbpq1rpp/1pn5/8/8/P1PP1N2/2PQBPPP/R3K2R w KQ - 3 16,e1g1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,w,-46,124,153,-50,0,3,5,17,17,0,0,7,21,0,0,0, 0,5, 12,31,5,-20,8,-33,0,0,1,16,0,3, 0,52, 22,13,37,60,23,0,0,0,3,13,142,189,153,3,0,3,5,17,17,0,0,7,21,0,0,5, 0,71, 12,31,5,-1,13,11,0,-8,1,13,0,3, 0,52, 22,13,37,60,23,0,0,0,6,13
31233,jsZKvKa0,25,https://lichess.org/jsZKvKa0#25,r1b2rk1/pppq1ppp/8/4n1B1/2Pp4/PP4PP/3QPP2/R3KB1R b KQ - 0 13,d7c6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,b,-61,-81,15,-82,-4,6,2,12,20,7,0,7,14,14,0,1, 0,71, 47,0,54,-13,24,-3,0,17,-1,26,0,7, 0,85, 12,7,22,-22,24,8,0,17,8,13,-77,-80,15,-81,-4,6,5,17,17,2,7,14,7,7,0,1, 0,71, 47,0,54,-13,24,-29,0,17,-2,26,0,7, 0,85, 12,7,22,-22,28,8,0,2,10,16
31234,mAWFcUQK,38,https://lichess.org/mAWFcUQK#38,2kr3r/pppb1p1p/8/2q5/4PP2/P2B4/1P1Q2PP/R4RK1 w - - 1 20,d2f2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,w,163,125,72,20,0,3,9,11,13,4,6,6,13,0,0,13, 0,56, 33,0,24,24,31,-45,0,19,5,24,0,1, 0,30, -4,0,21,23,28,10,0,0,-12,9,189,119,72,15,0,3,11,6,15,4,6,0,19,0,0,13, 0,56, 33,0,24,24,31,-4,0,-20,7,21,0,1, 0,30, -4,0,21,23,33,10,0,-39,-6,9
31235,fZgNIvNu,45,https://lichess.org/fZgNIvNu#45,r2q1rk1/2p2ppp/p1R1p3/1n6/1P1b1B2/3Q3P/2B2PP1/4R1K1 b - - 2 23,g7g6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,b,43,-165,-138,0,1,0,15,5,20,5,7,7,14,0,0,7, 0,83, 17,0,79,34,30,8,0,0,7,20,0,7, 0,71, 7,42,41,2,28,-113,0,-6,-9,16,-82,-161,-138,3,1,0,15,5,20,5,7,7,14,0,0,7, 0,92, 17,0,83,34,28,8,0,0,7,20,0,6, 0,70, 16,42,40,2,28,8,0,9,-6,20
31236,uQnpMIED,43,https://lichess.org/uQnpMIED#43,2kr3r/1p2npbp/4p1p1/1P1pP3/3P4/p1B2B1P/5PP1/1K1R3R b - - 0 22,c8d7,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,b,-112,-104,-44,-8,-17,-14,9,4,9,3,5,0,15,0,0,-5, 0,32, 17,0,73,42,0,-7,0,0,-2,20,0,4, 0,49, 28,13,5,15,0,-7,59,0,0,18,-142,-76,-44,6,-17,-14,9,4,9,3,5,0,15,0,0,-5, 0,32, 17,0,73,42,0,-7,0,0,-2,20,0,0, 0,29, 28,26,5,49,0,9,73,0,0,16
31237,umcqnnli,11,https://lichess.org/umcqnnli#11,r1bqkb1r/pppp1ppp/5nn1/4P3/3P4/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 6,f6g8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,b,-143,-348,-328,-3,0,-1,17,5,20,2,7,0,23,0,0,5, 0,89, 44,41,62,-25,8,0,0,0,17,26,0,0, 0,47, 19,42,0,-25,-26,20,0,-56,5,7,-136,-335,-328,6,0,-1,23,5,14,2,23,0,7,0,0,5, 0,89, 44,41,62,-25,8,0,0,0,19,26,0,0, 0,47, 19,-6,0,-40,-2,10,0,0,5,3
31238,GmIJzPfh,15,https://lichess.org/GmIJzPfh#15,r2qkbnr/1p3ppp/p1n1p3/3pPb2/B2Q4/5N2/PPP2PPP/RNB2RK1 b kq - 1 8,b7b5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,b,-10,24,0,24,0,0,12,6,30,0,0,0,32,0,0,-10, 0,93, 22,2,16,-37,22,21,0,-42,-8,16,0,1, 0,101, 56,24,38,-37,15,11,0,-17,-14,16,-80,41,0,41,0,0,12,9,27,3,0,0,32,0,0,-10, 0,93, 22,2,16,-37,23,21,0,-104,-8,16,0,1, 0,107, 62,24,38,-37,15,11,0,0,-11,24
31239,Ap6uPW7z,49,https://lichess.org/Ap6uPW7z#49,4r1k1/pp1n1p2/2pb2p1/8/3Pr3/1PP1P2R/N2KB3/7R b - - 3 25,d7f6,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,b,-82,-224,-56,-55,0,1,6,10,7,1,0,10,10,0,0,10, 0,54, 30,-2,40,118,0,14,0,0,0,14,0,-12, 0,48, 16,10,29,66,0,-43,7,0,-15,12,-136,-229,-56,-58,0,1,6,10,7,3,0,10,10,0,0,10, 0,54, 30,-2,40,118,0,14,0,0,-3,14,0,-12, 0,48, 16,33,29,66,0,-22,7,0,-12,12
